ID	City	State	Latitude	Longitude	MeanAnnual Temperature	MeanAnnualPrecipitation	NetPrimaryProductivity	Elevation	Residence	NumberBedroooms
12	Hopkinton	NH	43.2	-71.7	6.960091743	87.59441896	2.144495766	222.6697235	A mobile home	3
13	Albuquerque	NM	35.1	-106.5	10.76146789	26.16360856	0.621555117	1708.676392	One-family house detached from any other house	3
14	Savannah	GA	32.1	-81.1	19.11391437	102.441208	2.431253787	11.96749973	One-family house detached from any other house	2
15	Renton	WA	47.4	-122.1	11.17285933	85.4941896	2.186705014	144.7330322	One-family house detached from any other house	4
16	Fort Plain	NY	42.9	-74.7	6.766437309	88.5733945	2.183676564	429.188324	One-family house detached from any other house	3
17	Ouray	CO	38.0	-107.7	3.639831804	37.23990826	0.998599335	2571.946045	One-family house detached from any other house	2
18	Mason City	IA	43.1	-93.2	7.587155963	63.1601682	0.823516054	367.7772217	One-family house detached from any other house	3
19	Smyrna	DE	39.3	-75.6	12.85649847	92.8779052	1.110463358	12.62528801	One-family house detached from any other house	3
20	Oakland	CA	37.8	-122.3	14.09617737	41.10183486	1.87041945	115.6696014	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
21	Towson	MD	39.4	-76.6	12.43012232	89.19495413	1.302771058	92.84095764	One-family house detached from any other house	3
22	Auburn	CA	39.0	-121.1	15.52576453	46.77752294	2.042663539	112.7744446	One-family house detached from any other house	2
23	Marquete	MI	46.6	-87.4	4.496100917	65.20542813	NA	187.7169495	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
24	Albuquerque	NM	35.1	-106.5	9.141131498	30.73425076	0.621555117	1968.953003	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
25	Atlanta	GA	33.8	-84.4	16.65221713	102.9034404	2.095661718	274.2244568	"High rise apartment (multiple units, with 5 or more stories)"	1
26	Grand Junction	CO	39.1	-108.7	9.066896024	22.41406728	0.420162023	1721.291138	One-family house detached from any other house	4
27	San Diego	CA	32.7	-117.1	16.81697248	22.42683486	1.389839487	103.6060028	One-family house attached to one or more houses (e.g. a townhouse or condominium)	4
28	Issaquah	WA	47.5	-122.0	8.907721713	193.8493884	2.014082378	753.8516846	One-family house detached from any other house	4
29	DIAMONDHEAD	MS	30.4	-89.3	20.10244648	128.9729358	3.629580571	10.37857628	One-family house detached from any other house	3
30	Torrington	CT	41.8	-73.2	8.895259939	98.1559633	2.138249549	266.0041809	One-family house detached from any other house	2
31	Madison	WI	43.1	-89.4	7.432874618	66.84411315	1.038347971	284.4916687	Duplex or two-family house (designed for two families)	1
32	Iowa City	IA	41.6	-91.5	9.620107034	69.42721713	0.994245918	239.0658264	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
33	bend	OR	44.0	-121.3	8.230428135	30.24136086	0.579345851	990.0255737	Duplex or two-family house (designed for two families)	3
34	Brookline	MA	42.3	-71.1	9.388990826	94.63203364	NA	52.88596344	Duplex or two-family house (designed for two families)	3
35	Wasilla	AK	61.5	-149.6	1.351987768	35.6324159	0.641997278	287.369751	One-family house detached from any other house	3
36	New Plymouth	ID	43.9	-116.8	11.16330275	20.24159021	0.388741671	749.1513672	One-family house detached from any other house	4
